timestamp,open,high,low,close,volume
1645574400,38269.94,39303.24,37552.30,39002.13,746.10979097
1645488000,37036.98,38463.88,36368.99,38269.94,2388.75903515
1645401600,38384.09,39494.11,36810.72,37076.60,3501.42036418
1645315200,40108.62,40151.62,37974.18,38373.90,1283.51154740
1645228800,40008.75,40471.27,39587.08,40109.02,695.65429600
1645142400,40532.66,40996.31,39450.00,39996.99,2212.71492010
1645056000,43901.49,44204.78,40088.88,40556.11,2437.49036088
1644969600,44590.75,44590.75,43312.83,43901.48,1251.83359420
1644883200,42567.27,44785.66,42469.96,44582.48,1772.92325828
1644796800,42078.53,42871.68,41575.00,42540.30,1270.88651697
1644710400,42232.68,42779.60,41882.54,42077.74,515.45574228
1644624000,42392.22,43034.00,41740.06,42241.11,892.34533043
1644537600,43540.15,43969.72,41983.12,42406.19,2170.37239741
1644451200,44426.24,45850.00,43209.07,43524.60,2692.62339808
1644364800,44106.95,44865.72,43164.00,44426.84,1625.88352507
1644278400,43895.60,45501.00,42701.19,44091.56,2591.80146351
1644192000,42420.24,44524.18,41682.11,43869.04,2601.46944039
1644105600,41422.70,42701.86,41141.81,42420.24,854.67571444
1644019200,41608.82,41983.12,40975.00,41427.72,1892.23797403
1643932800,37330.75,41760.39,37064.28,41579.57,3901.59890405
1643846400,36924.50,37391.74,36264.55,37320.11,1624.39014671
1643760000,38768.08,38883.96,36618.36,36923.50,1672.70719509
1643673600,38483.56,39285.00,38033.78,38733.04,2073.93871710
1643587200,37914.10,38776.33,36631.66,38491.92,2009.13000337
1643500800,38176.45,38378.88,37372.59,37941.82,708.79481272
1643414400,37713.14,38741.67,37327.79,38192.65,1296.90892268
1643328000,37179.62,38022.11,36173.98,37748.36,2420.65410706
1643241600,36824.02,37251.00,35511.32,37208.36,3103.82301099
1643155200,37006.76,38946.00,36279.21,36829.32,3663.15557069
1643068800,36721.59,37552.30,35722.43,36975.91,2793.69107911
1642982400,36262.21,38050.00,32950.72,36724.99,6335.15428027
1642896000,35084.79,36574.47,34624.59,36293.62,2533.70397599
1642809600,36447.37,36825.98,34000.00,35091.11,4510.37218636
1642723200,40654.72,41115.58,35423.00,36495.46,6201.04610092
1642636800,41733.21,43518.69,40554.14,40736.05,2425.15260695
1642550400,42378.23,42589.90,41145.23,41683.21,1664.70405269
1642464000,42230.09,42685.25,41290.06,42377.40,1638.87085963
1642377600,43099.08,43209.47,41581.00,42255.07,1060.00938797
1642291200,43084.77,43495.59,42615.00,43107.70,621.95302734
1642204800,43085.76,43826.80,42387.86,43102.01,707.65852297
1642118400,42579.44,43468.95,41782.21,43102.35,1386.83275834
1642032000,43935.01,44456.34,42321.00,42571.94,1993.88324273
1641945600,42754.44,44337.26,42471.17,43933.50,2502.76210107
1641859200,41842.22,43144.74,41284.11,42736.00,2442.65415081
1641772800,41853.98,42256.55,39558.70,41845.42,3494.01378649
1641686400,41697.32,42796.49,41200.00,41875.81,1532.58823403
1641600000,41576.73,42315.31,40517.05,41690.77,1581.47361959
1641513600,43093.40,43135.35,40600.00,41535.66,2984.20586087
1641427200,43417.31,43782.86,42414.00,43097.60,2450.11309350
1641340800,45828.77,46855.06,42413.59,43435.80,3397.54577759
1641254400,46464.01,47526.00,45539.05,45820.00,1832.61283694
1641168000,47290.55,47586.58,45692.13,46439.89,1140.17908832
1641081600,47745.25,47989.00,46660.00,47350.22,702.09475540
1640995200,46230.00,47960.98,46199.90,47777.42,741.52060313
1640908800,47110.30,48589.47,45655.31,46214.37,1798.55260406
1640822400,46474.59,47916.32,45934.37,47150.71,2162.27044303
1640736000,47597.70,48157.41,46099.94,46483.36,2089.30815829
1640649600,50708.05,50719.59,47300.00,47543.30,2215.26863352
1640563200,50885.32,52098.60,50479.44,50718.11,1102.98343745
1640476800,50421.51,51292.65,49458.85,50791.21,1015.22197466
1640390400,50857.42,51179.36,50190.90,50442.22,823.04872916
1640304000,50850.00,51864.56,50442.34,50841.48,1446.08883091
1640217600,48618.99,51386.66,48051.10,50850.00,1715.35802664
1640131200,48907.75,49600.00,48449.87,48618.99,1306.16574192
1640044800,46926.72,49353.49,46667.08,48929.86,1674.16446918
1639958400,46671.66,47547.50,45572.94,46915.00,1726.01603262
1639872000,46854.18,48307.34,46450.00,46704.67,1275.49937089
1639785600,46141.63,47370.14,45501.00,46881.87,827.39374258
1639699200,47654.99,48018.52,45478.74,46210.92,2077.28024679
1639612800,48876.84,49449.00,47506.21,47663.42,1456.25725801
1639526400,48386.95,49514.85,46560.00,48876.84,2593.35180959
1639440000,46736.70,48689.30,46310.40,48389.96,2016.58981458
1639353600,50102.31,50226.20,45750.00,46725.02,3337.44792896
1639267200,49420.51,50800.00,48675.00,50124.38,1233.78838616
1639180800,47179.53,49539.40,46789.00,49400.54,1323.03955982
1639094400,47573.43,50132.88,46886.00,47142.42,2705.17070403
